Clave,Descripcion,Marca,UnidadMedida,Linea,Division,Largo,Ancho,Precio,Descuento,Alta,Modificacion,Responsable,FraccionArancelaria
PY155,"POLYFOAM LINER D-6.5 .075""  DE .05 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.05,88.23,0,2012-05-17,2013-09-27,MIREYAS,NULL
PI13,"POLYFOAM LAMINATED L/A 1/C C/PEL BD 3/32"" DE .90 X 133 MTS",POLYFOAM LAMINATED,PZ,NULL,1,133,0.9,610,0,2014-11-11,2019-04-02,MIREYAS,39211901
PY147,"POLYFOAM LINER D-7 .075""  DE .107 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.107,214.64,0,2012-05-17,2017-06-22,MIREYAS,NULL
PM133,"POLYLAM MDL3.3PCF,.500""WHITE+4.5 PCF,.250""WHITE,.750""X47""X110""",POLYLAM MDL,PZ,PL,2,110,47,273.18,0,2014-08-25,2014-08-29,BELENL,39211901
IP97,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 7.39 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,7.39,1.22,984.25,0.1,2011-08-08,2011-08-08,ALEJANDRA,39211101
IP99,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 7.60 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,7.6,1.22,1012.22,0.1,2011-08-08,2011-08-08,ALEJANDRA,39211101
PL271,"POLYLAM 1.5"" D-1.7 DE 1.27 X 2.80 MTS. ROSA",POLYLAM,PZ,PL,2,2.8,1.27,22.11,0,2011-08-15,2011-08-15,ALEJANDRA,39211901
PH45,"POLYFOAM HOJA .500"" D-1.2 A/S DE 1.27 X 2.80 MTS. ROSA",POLYFOAM HOJA,PZ,PL,2,2.8,1.27,4.98,0,2011-09-09,2011-09-09,ALEJANDRA,39211901
PP32,"POLYPROFILE 2 1/2"" DE 1.30 MTS. TRANSICION",POLYPROFILE,PZ,RO,1,1.3,0,17,0.12,2012-02-09,2012-07-12,MIREYAS,NULL
PL314,"POLYLAM 2"" D-1.2 .500"" DE 1.27 X 2.83 MTS. BLANCO",POLYLAM,PZ,PL,2,2.83,1.27,300.02,0,2012-04-11,2012-04-11,MIREYAS,39211901
IK76,"INSUFOAM 4000 1"" X 1.22 X 6.76 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,4,6.76,1.22,423.99,0,2016-01-12,2016-01-12,MIREYAS,39211101
PL512,"POLYLAM 1.2 PCF 1"" AS .750"" X 48"" X 104"" SKIVED W/SKIN",POLYLAM,PZ,NULL,2,104,48,11,0,2015-02-06,2015-02-06,MIREYAS,39211901
PL413,"POLYLAM  1.5 PCF 1.5"" X 48"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,48,266.46,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL405,"POLYLAM 2.2 PCF 4"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,1033.17,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL453,"POLYLAM 1.7 PCF A/S 1"" X 48"" X 108""",POLYLAM,PZ,PL,2,108,48,197.51,0,2014-03-31,2014-06-10,MIREYAS,39211901
PL464,"POLYLAM 4.2 PCF WHITE 1.5"" X 47"" X 83""",POLYLAM,PZ,PL,2,83,47,502.06,0,2014-04-08,2014-04-08,MIREYAS,39211901
PP44,"POLYPROFILE LIGHT 2.5"" X 2 MTS AZUL",POLYPROFILE,PZ,NULL,1,2,2.5,20,0,2016-10-20,2016-10-20,MIREYAS,NULL
IK12,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 1.5"" DE 1.22 X 9.14 MTS. AMARILLO C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,9.14,1.22,57.98,0,2011-09-07,2011-09-07,ALEJANDRA,39211101
PR153,"POLYROLL DE 1/16"" DE 2 X 210 MTS. BLANCO P/A 31""",POLYROLL,PZ,RO,1,210,2,670.4,0,2012-06-12,2012-06-12,MIREYAS,39211901
PI12,"POLYFOAM LAMINATED 3/32"" L/A 1/C DE 1 X 120 MTS. HD 50 C/IMP",POLYFOAM LAMINATED,PZ,RO,1,120,1,288,0,2014-09-15,2019-04-02,MIREYAS,39211901
RT6,ROLLO TUBULAR S/I DE 49 X 34 MTS CALIBRE 200,ROLLO TUBULAR,KG,NULL,7,34,49,31.73,0,2016-06-01,2016-06-01,MIREYAS,NULL
PR227,"POLYROLL D-1.2 1""  DE 1.30 X 30 MTS. VERDE",POLYROLL,PZ,NULL,1,30,1.3,1600.4,0,2016-06-30,2016-06-30,MIREYAS,39211901
OT42,INTERESES OCTUBRE 2018,OTROS,PZ,NULL,6,0,0,1138.13,0,2018-11-13,2018-11-13,JAZMIN,
PL327,"POLYLAM 1"" D-3.3 .500"" DE 1.20 X 5.00 MTS. NEGRO",POLYLAM,PZ,PL,2,5,1.2,540,0,2012-07-11,2012-07-11,MIREYAS,39211901
PM140,"POLYLAM MDL 1.7 PCF, 2"" WHITE+6 PCF.125"" BLUE, 2.125"" X 48"" X 108""",POLYLAM MDL,PZ,NULL,2,108,48,30.07,0,2014-12-09,2014-12-09,MIREYAS,39211901
IP93,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 8.45 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,8.45,1.22,1124.3,0.2,2011-07-20,2011-07-20,ALEJANDRA,39211101
PL278,"POLYLAM 1"" D-1.2 1.5"" DE 1.27 X 2.90 MTS. VERDE",POLYLAM,PZ,PL,2,2.9,1.27,12.21,0,2011-09-01,2011-09-01,ALEJANDRA,39211901
PY121,"POLYFOAM LINER D-6.5 .075"" DE 1.40 X 100 MTS. BLANCO C/A 92 MM",POLYFOAM LINER,PZ,RO,1,100,1.4,2294.09,0.1,2011-11-24,2011-11-24,ALEJANDRA,NULL
PR137,"POLYROLL 3/32"" DE 1.35 X 183 MTS. BLANCO",POLYROLL,PZ,RO,1,183,1.35,35,0,2011-10-13,2011-10-13,ALEJANDRA,39211901
IP123,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 7.55 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,7.55,1.22,905.07,0,2012-06-14,2012-06-14,MIREYAS,39211101
PL346,"POLYLAM 2"" D-3.3 .500"" DE 1.20 X 2.93 MTS. BCO",POLYLAM,PZ,PL,2,2.93,1.2,850,0,2013-02-19,2013-02-19,MIREYAS,39211901
PM130,"POLYLAM MDL 4.5PCF,.250""BLUE+2.2PCF,1""WHITE+4.5PCF,.250""RED,1.5""X47""X108""",POLYLAM MDL,PZ,PL,2,108,47,660.03,0,2014-07-29,2014-07-29,MIREYAS,39211901
PM127,"POLYLAM MDL 1.2PCF 2"" GREEN+(2)6PCF.125"" WHITE+1.2 PCF 1"" GREEN3.250""X48""X108""",POLYLAM MDL,PZ,PL,2,108,48,36.87,0,2014-06-23,2014-06-25,MIREYAS,39211901
PB24,"POLYBOARD1.7 PCF, 2"" X 48"" X 108"" NATURAL",POLYBOARD,PZ,PL,2,108,48,240.5,0,2014-05-02,2014-07-28,MIREYAS,39211901
PH70,"POLYFOAM SHEET 4.2 PCF .500"" X 47"" X 108"" WHITE",POLYFOAM HOJA,PZ,PL,2,108,47,195,0,2014-10-02,2014-10-02,MIREYAS,39211901
IK55,"INSUFOAM 4000 1"" X 1.22 X 2.44 MTS C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,2,2.44,1.22,145,0,2014-11-13,2018-08-22,JAZMIN,39211101
PL535,"POLYLAM 1.7 PCF, 2"" X 48"" X 77""  WHITE",POLYLAM,PZ,NULL,2,77,48,15.65,0,2016-01-08,2016-01-08,BELENL,39211901
PM144,"POLYLAM MDL 1.2 PCF  3"" + 1.5 PCF .750"", 3.750"" X 48"" X 108"" WHITE",POLYLAM MDL,PZ,NULL,2,108,48,35.1,0,2015-02-18,2015-02-18,MIREYAS,39211901
PI24,"POLYFOAM LAMINATED 1/8"" X .90 X 100 MTS",POLYFOAM LAMINATED,PZ,NULL,1,100,0.9,475.8,0,2015-04-07,2019-04-02,MIREYAS,39211901
PY207,"POLYFOAM LINER D-6.5 .075"" DE .064 X 100 MTS",POLYFOAM LINER,PZ,NULL,1,100,0.064,109.25,0,2015-07-17,2015-07-17,MIREYAS,NULL
PR117,POLYROLL 1/4 GRIS 2.00  X 55 MTS.,POLYROLL,PZ,RO,1,55,2,500,0,2010-11-08,2010-11-08,ALEJANDRA,39211901
PL409,"POLYLAM 1.2 PCF 3"" X 48"" X 108""  WHITE",POLYLAM,PZ,PL,2,108,48,457.75,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL504,"POLYLAM 1.7 PCF, 3"" 48"" X 108"" BLACK",POLYLAM,PZ,NULL,2,108,48,36.61,0,2014-12-17,2014-12-29,MIREYAS,39211901
PR208,"POLYROLL 1/16"" DE 2 X 210 MTS BLANCO C/A 1 MT P/A 1.20 MTS",POLYROLL,PZ,NULL,1,210,2,654,0,2015-04-14,2015-04-14,MIREYAS,39211901
IP164,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 40 PSI, 3"" X 24"" X 96"" S/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,NULL,2,96,24,30.9,0,2014-12-10,2014-12-10,MIREYAS,39211101
PL259,POLYLAM D-1.2 DE 1.27 X 2.80 MTS. ROSA,POLYLAM,PZ,PL,2,2.8,1.27,18.76,0,2011-05-26,2011-05-26,ALEJANDRA,39211901
IP102,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1.5"" DE 1.22 X 3.00 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,3,1.22,299.29,0,2011-08-09,2011-08-09,ALEJANDRA,39211101
PL279,"POLYLAM .500"" D-1.2 1.5"" DE 1.27 X 2.65 MTS. VERDE",POLYLAM,PZ,PL,2,2.9,1.27,12.21,0,2011-09-01,2011-09-29,ALEJANDRA,39211901
PL251,"POLYLAM 1"" D-1.5 NEGRA + D-6 .125 NEGRA 1.125"" DE 1.27 X 2.80 MTS. NEGRO",POLYLAM,PZ,PL,2,2.8,1.27,14.5,0,2011-04-25,2011-05-02,ALEJANDRA,39211901
PY145,"POLYFOAM LINER D-7 .075""  DE .110 X 100 MTS.",POLYFOAM LINER,PZ,RO,1,100,0.11,214.64,0,2012-05-17,2012-05-17,MIREYAS,NULL
PP39,"POLYPROFILE 2.5"" DE 2 MTS. TRANSICION",POLYPROFILE,PZ,NULL,1,2,0,20,0,2016-09-23,2016-09-23,BELENL,NULL
PB16,"POLYBOARD 2"" D-9  DE 23""  X 108 "" BLANCO",POLYBOARD,PZ,PL,2,108,23,526.5,0,2010-09-20,2010-10-01,SONIA,39211901
PR113,"POLYROLL 1/4"" DE 1.86 X 78 MTS.",POLYROLL,PZ,RO,1,78,1.86,545,0,2010-08-27,2011-03-07,ALEJANDRA,39211901
PI11,"POLYFOAM LAMINATED 1/16"" DE 1 X 90 MTS. HD 50 C/IMP",POLYFOAM LAMINATED,PZ,RO,1,90,1,235.8,0,2014-09-15,2018-12-06,JAZMIN,39211901
PL495,"POLYLAM 4.5 PCF .750"" X 47"" X 108"" RED",POLYLAM,PZ,PL,2,108,47,520,0,2014-10-03,2014-10-03,MIREYAS,39211901
PL494,"POLYLAM 4.5 PCF .750"" X 47"" X 108"" GREEN",POLYLAM,PZ,PL,2,108,47,520,0,2014-10-03,2014-10-03,MIREYAS,39211901
PM139,"POLYLAM MDL 1/8"" + 3.3 PCF,.500"" WHITE+ 1/8"", .750"" X 47"" 110""",POLYLAM MDL,PZ,NULL,2,110,47,210,0,2014-11-12,2014-11-12,MIREYAS,39211901
PR220,"POLYROLL 1/8"" 2 X 105 MTS C/A 1.5 MTS + RESTO",POLYROLL,PZ,NULL,1,105,2,571.78,0,2016-05-25,2017-01-20,BELENL,39211901
RT5,ROLLO TUBULAR S/I DE 50 X 24 MTS CALIBRE 125,ROLLO TUBULAR,KG,NULL,7,24,50,31.73,0,2016-06-01,2016-06-01,MIREYAS,NULL
OT18,"POLYPROTECTOR CUELLO DE MONJA 1/4"" X 47 CM X 55 CM GRIS",OTROS,ML,NULL,6,55,47,2150,0,2016-07-27,2016-07-27,MIREYAS,NULL
IK68,"INSUFOAM 4000, 1"" X 48"" X 216.48"" ORANGE C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,2,216.48,48,27.88,0,2015-01-16,2015-01-16,MIREYAS,39211101
IK59,"INSUFOAM 4000 2"" X 1.22 X 2.44 MTS S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,NULL,2,2.44,1.22,290,0,2014-11-13,2019-02-05,JAZMIN,39211101
PL404,"POLYLAM 2.2 PCF 3.5"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,915.49,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL431,"POLYLAM 1.2 PCF 4"" X 48"" X 108"" GREEN",POLYLAM,PZ,PL,2,108,48,636.08,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL467,"POLYLAM 1.2 PCF, 1.5"" X 48"" X 116"" GREEN",POLYLAM,PZ,PL,2,116,48,15.03,0,2014-04-09,2014-04-09,MIREYAS,39211901
IK39,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 1.5"" X 1.22 X 1.22 MTS NARANJA S/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,1.22,1.22,86.78,0,2014-04-24,2014-04-24,MIREYAS,39211101
PL320,"POLYLAM 1"" AS D-1.7 .500"" DE 1.27 X 2.80 MTS. DEVASTADA 7/8""",POLYLAM,PZ,PL,2,2.8,1.27,236.2,0,2012-05-21,2012-06-08,MIREYAS,39211901
PM134,"POLYLAM MDL 4.5PCF.250""BLUE+2.2PCF, 1""WHITE+4.5PCF.250""ORANGE,1.5""X47""X108""",POLYLAM MDL,PZ,PL,2,108,47,530,0,2014-09-08,2014-09-08,MIREYAS,39211901
PL523,"POLYLAM 1.7 PCF 2.5"" X 48"" X108"" BLACK",POLYLAM,PZ,NULL,2,108,48,449.97,0,2015-08-18,2015-08-18,MIREYAS,39211901
PL250,"POLYLAM 1""  D 1.2  4""  DE 1.25 X 2.77 MTS. BLANCO",POLYLAM,PZ,PL,2,2.77,1.25,186.84,0,2011-04-18,2011-04-18,SONIA,39211901
IP103,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 3.60 MTS. BLANCO C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,3.6,1.22,431.51,0.1,2011-09-07,2011-09-07,ALEJANDRA,39211101
PL281,"POLYLAM 2.5"" D-1.5 .500"" DE 1.27 X 2.80 MTS. NEGRO",POLYLAM,PZ,PL,2,2.8,1.27,32,0,2011-09-09,2011-09-09,ALEJANDRA,39211901
IK16,"POLIESTIRENO EXTRUIDO INSUFOAM 4000 1.5"" DE 1.22 X 5.80 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM 4000,PZ,IN,2,5.8,1.22,469.35,0,2011-09-23,2011-09-23,ALEJANDRA,39211101
PM73,"POLYLAM MDL 1.875"" D-1.7 DEVASTADA 1.750""+D-8 .125"" BCO DE 1.27 X 2.80 MTS.",POLYLAM MDL,PZ,PL,2,2.8,1.27,610.63,0,2011-10-12,2011-10-12,ALEJANDRA,39211901
PR139,"POLYROLL 1/16"" DE 2.00 X 210 MTS. BLANCO C/A 66 CM",POLYROLL,PZ,RO,1,210,2,627.4,0.16,2011-11-25,2017-01-20,BELENL,39211901
PI26,"POLYFOAM LAMINATED 1/16"" DE .90 X 200 MTS",POLYFOAM LAMINATED,PZ,NULL,1,200,0.9,640.5,0,2015-08-21,2019-04-02,MIREYAS,39211901
PR63,"POLYROLL 1/32"" DE 2 X 315 MTS. C/A 3""",POLYROLL,PZ,RO,1,315,2,582,0,2009-10-01,2010-06-17,CIDIREC04,39211901
RT2,ROLLO TUBULAR S/I DE 58 X 30 MTS CALIBRE 200,ROLLO TUBULAR,KG,NULL,7,30,58,31.73,0,2016-05-23,2016-05-23,MIREYAS,NULL
IP112,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22  X 9.60 MTS. C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,9.6,1.22,1150.82,0.2,2012-02-27,2012-02-27,MIREYAS,39211101
PL485,"POLYLAM 1.2 PCF 1"" AS, .750"" X 48"" X 108"" SKIVEN W/SKIN",POLYLAM,PZ,PL,2,108,48,11.82,0,2014-08-04,2014-08-04,MIREYAS,39211901
IP146,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 1"" DE 1.22 X 6.50 MTS C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,2,6.5,1.22,389.36,0,2014-08-07,2014-08-07,MIREYAS,39211101
PI17,"POLYFOAM LAMINATED 1/8"" X .85  X 75 MTS+CRYSTAL PACK 3/16"" C/IMPR",POLYFOAM LAMINATED,PZ,NULL,1,75,0.85,747.61,0,2014-12-19,2019-04-02,MIREYAS,39211901
IP155,"INSUFOAM PLUS, 2"" X 1.22 X 2.44 MTS C/M",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,IN,4,2.44,1.22,293,0,2014-10-17,2018-08-22,JAZMIN,39211101
PL511,"POLYLAM 1.2 PCF 1"" AS .875"" X 48"" X 108""  SKIVED W/SKIN",POLYLAM,PZ,NULL,2,108,48,13.02,0,2015-02-06,2015-02-06,MIREYAS,39211901
OT29,INTERESES JULIO 2017,OTROS,PZ,NULL,6,0,0,19605.02,0,2017-09-28,2017-09-28,MIREYAS,NULL
PI31,"POLYFOAM LAMINATED SHEET 1/8"" (250 MIC) X 1.07 X .20 MTS",POLYFOAM LAMINATED,PZ,NULL,1,0.2,1.07,2.27,0,2015-08-28,2019-04-02,MIREYAS,39211901
PR213,"POLYROLL 1/4"" DE 2 X 55 MTS BLANCO P/A 1.43 MTS",POLYROLL,PZ,NULL,1,55,2,450,0,2015-12-04,2015-12-04,MIREYAS,39211901
PL408,"POLYLAM 1.2 PCF 2.5"" X 48"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,48,395.02,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL416,"POLYLAM 1.5 PCF 3.5"" X 48"" X 108"" BLACK",POLYLAM,PZ,PL,2,108,48,671.85,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL444,"POLYLAM 3.3 PCF 3.5"" X 47"" X 108"" WHITE",POLYLAM,PZ,PL,2,108,47,1301.99,0,2014-03-31,2014-03-31,MIREYAS,39211901
PL447,"POLYLAM 1.2 PCF A/S 1.5"" X 48"" X 108""",POLYLAM,PZ,PL,2,108,48,235.35,0,2014-03-31,2014-03-31,MIREYAS,39211901
PM115,"POLYLAM MDL 1.2 PCF, 2.750"" GREEN, 3"" X 48"" X 116"" SKIVED W/ SKIN",POLYLAM MDL,PZ,PL,2,116,48,30.07,0,2014-04-09,2014-04-09,MIREYAS,39211901
PL448,"POLYLAM 1.2 PCF A/S 2"" X 48"" X 108""",POLYLAM,PZ,PL,2,108,48,298.6,0,2014-03-31,2014-03-31,MIREYAS,39211901
PB17,"POLYBOARD 2"" D-9  DE 19 X 108 MTS. BLANCO",POLYBOARD,PZ,PL,2,108,19,110808,0,2010-10-04,2010-10-04,SONIA,39211901
PH38,"POLYFOAM HOJA 1/32"" C/A 15 X 32 CM. BLANCO",POLYFOAM HOJA,PZ,PL,2,32,15,65,0.16,2010-10-28,2010-10-28,ALEJANDRA,39211901
RT7,ROLLO TUBULAR S/I PH8 DE 65 X 15 MTS CALIBRE 200,ROLLO TUBULAR,KG,NULL,7,15,65,31.73,0,2016-06-01,2016-06-01,MIREYAS,NULL
RT8,ROLLO TUBULAR S/I DE 77 X 8 MTS CALIBRE 200,ROLLO TUBULAR,KG,NULL,7,8,77,31.73,0,2016-06-01,2016-06-01,MIREYAS,NULL
IP57,"POLIESTIRENO EXTRUIDO INSUFOAM PLUS 2"" DE 1.22 X 3.85 MTS C/M BCO.",POLIESTIRENO EXTRUIDO INSUFOAM PLUS,PZ,PL,2,3.85,1.22,507.28,0.23,2010-09-07,2010-09-07,SONIA,39211101
